Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Duration,Total Packets,Total Length,Packet Length Min,Packet Length Max,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Flow IAT Total,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Active Mean,Active Std,Idle Mean,Idle Std,label
192.168.1.124-192.168.56.103-36136-5000-TCP,192.168.1.124,36136,192.168.56.103,5000,TCP,0.027315999999999,6,404,66,74,14789.86674476551,219.65148630839863,0.0054631999999998,0.003160499201077,0.0085060000000041,9.8999999998739e-05,0.027315999999999,1,1,0,0,6,0,0,0,0.0054631999999998,0.003160499201077,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36152-5000-TCP,192.168.1.124,36152,192.168.56.103,5000,TCP,0.0374690000000015,6,404,66,74,10782.246657236208,160.13237609756746,0.0074938000000003,0.0070963062715759,0.019210000000001,0.0001129999999989,0.0374690000000015,1,1,0,0,6,0,0,0,0.0074938000000003,0.0070963062715759,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36158-5000-TCP,192.168.1.124,36158,192.168.56.103,5000,TCP,0.0260559999999969,6,404,66,74,15505.06601166898,230.27325759904429,0.0052111999999993,0.0034148940979172,0.0094879999999974,7.300000000043383e-05,0.0260559999999969,1,1,0,0,6,0,0,0,0.0052111999999993,0.0034148940979172,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36170-5000-TCP,192.168.1.124,36170,192.168.56.103,5000,TCP,0.0289129999999957,6,404,66,74,13972.953342789036,207.51910905132232,0.0057825999999991,0.0033611876323693,0.0084370000000006,0.0001060000000023,0.0289129999999957,1,1,0,0,6,0,0,0,0.0057825999999991,0.0033611876323693,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36176-5000-TCP,192.168.1.124,36176,192.168.56.103,5000,TCP,0.0629550000000023,6,404,66,74,6417.282185687954,95.30617107457356,0.0125910000000004,0.0164476055248163,0.0411229999999989,8.600000000313912e-05,0.0629550000000023,1,1,0,0,6,0,0,0,0.0125910000000004,0.0164476055248163,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36180-5000-TCP,192.168.1.124,36180,192.168.56.103,5000,TCP,0.0290800000000004,6,404,66,74,13892.7097661621,206.3273727647837,0.005816,0.0033354549914544,0.008182000000005,8.299999999650254e-05,0.0290800000000004,1,1,0,0,6,0,0,0,0.005816,0.0033354549914544,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36196-5000-TCP,192.168.1.124,36196,192.168.56.103,5000,TCP,0.0232430000000007,6,404,66,74,17381.577249063645,258.14223637223233,0.0046486000000001,0.0026949507045562,0.0071030000000007,9.70000000037885e-05,0.0232430000000007,1,1,0,0,6,0,0,0,0.0046486000000001,0.0026949507045562,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36208-5000-TCP,192.168.1.124,36208,192.168.56.103,5000,TCP,0.0360709999999997,6,404,66,74,11200.13307088805,166.33860996368392,0.0072141999999999,0.0062157519416413,0.014251999999999,0.0001069999999998,0.0360709999999997,1,1,0,0,6,0,0,0,0.0072141999999999,0.0062157519416413,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36212-5000-TCP,192.168.1.124,36212,192.168.56.103,5000,TCP,0.0384190000000046,6,404,66,74,10515.63028709626,156.17272703608305,0.0076838000000009,0.0046633741754252,0.0116429999999994,9.999999999621424e-05,0.0384190000000046,1,1,0,0,6,0,0,0,0.0076838000000009,0.0046633741754252,0.0,0.0,BENIGN
192.168.1.124-192.168.56.103-36226-5000-TCP,192.168.1.124,36226,192.168.56.103,5000,TCP,0.0328599999999994,6,404,66,74,12294.583079732403,182.5928180158278,0.0065719999999998,0.0051766862470115,0.0137599999999977,9.000000000014552e-05,0.0328599999999994,1,1,0,0,6,0,0,0,0.0065719999999998,0.0051766862470115,0.0,0.0,BENIGN
